compound,created_at,source,text,user_location,user_name
0.5859,Thu May 23 06:58:39 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wou, All sixes by @narendramodi are amazing","New Delhi, India",aquadsoft
0.296,Thu May 23 06:58:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SirJadeja: Amit Shah leading with 2,84,762 votes in Gandhinagar, Gujarat with 73% vote share.  #Verdict2019 #ElectionResults2019",india,kinni
0.0,Thu May 23 06:58:39 +0000 2019,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Sonia Gandhi of Congress leads in Rae Bareli ahead of BJP's Dinesh Pratap Singh at 12:28 pm

#ElectionResults2019 D… https://t.co/phUN8C7m5b","Sultanpur, New Delhi",editorji
0.0,Thu May 23 06:58:39 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @GururajSandeep: #ElectionResults2019 #CountingDay 
Looking at the trends now, I guess the big victory is that of @AxisMyIndia and @Indi…",India Today Mediaplex,Rahul Kanwal
-0.5975,Thu May 23 06:58:39 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @AairahHasan: You don't know how it feels when you are super-happy but can't show your happiness openly as you are surrounded by people…,India,Chowkidar Aairah Hasan
0.926,Thu May 23 06:58:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SadhguruJV: Humility in Victory and Gracefulness in Defeat is the mark of great men. It takes great men to build a Great Nation. -Sg #E…,India,Abhishek Pareek
0.0,Thu May 23 06:58:39 +0000 2019,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",.@PiyaSrijana decodes #ElectionResults2019 with @gauravcsawant | https://t.co/OxRO6vGKtQ https://t.co/ArcB53yr60,"New Delhi, Delhi",DailyO
0.0,Thu May 23 06:58:40 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Troll_Tollywood: Manna intermediate results meeku baaga dhebba kottindhi saar @trspartyonline @KTRTRS 

#Telangana 
#ElectionResults2019",Bangalore,chandu
0.0,Thu May 23 06:58:41 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Atheist_Krishna: #ElectionResults2019 https://t.co/srpWoyj0Wk,"Coimbatore, India",MIRACLE MURUGESH
0.0,Thu May 23 06:58:41 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @dna: #Thane Lok Sabha Election Result 2019 Live updates - Sena's Rajan Vichare leads by 60,000 votes

#ElectionResults2019 #Verdict2019…",Mumbai (India),Neha Divekar
0.25,Thu May 23 06:58:41 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Pun_Starr: According to trends, we can continue making Modi jokes for another 5 years. #ElectionResults2019","London, England",Lady Nisha
